"","Region","Structural.Factor","Question_Ref","Question","Period","Value_No","Value","Cohort","n"
"293","Western Europe","Rivalry Determinants","Q30","Customer Switching Costs","Current",3,"Few","Working Team",0
"294","Western Europe","Rivalry Determinants","Q30","Customer Switching Costs","Current",4,"Minimal","Working Team",0
"295","Western Europe","Rivalry Determinants","Q30","Customer Switching Costs","Current",5,"Very Minimal","Working Team",0
"296","Western Europe","Rivalry Determinants","Q30F","Customer Switching Costs","Future",1,"Very High","Working Team",0
"297","Western Europe","Rivalry Determinants","Q30F","Customer Switching Costs","Future",2,"High","Working Team",0
"298","Western Europe","Rivalry Determinants","Q30F","Customer Switching Costs","Future",3,"Few","Working Team",0
"299","Western Europe","Rivalry Determinants","Q30F","Customer Switching Costs","Future",4,"Minimal","Working Team",0
"300","Western Europe","Rivalry Determinants","Q30F","Customer Switching Costs","Future",5,"Very Minimal","Working Team",0
"301","Western Europe","Rivalry Determinants","Q31","Economies of Scale","Current",1,"Significant","Working Team",0
"302","Western Europe","Rivalry Determinants","Q31","Economies of Scale","Current",2,"Some","Working Team",0
"303","Western Europe","Rivalry Determinants","Q31","Economies of Scale","Current",3,"Few","Working Team",0
"304","Western Europe","Rivalry Determinants","Q31","Economies of Scale","Current",4,"Very Few","Working Team",0
"305","Western Europe","Rivalry Determinants","Q31","Economies of Scale","Current",5,"None","Working Team",0
"306","Western Europe","Rivalry Determinants","Q31F","Economies of Scale","Future",1,"Significant","Working Team",0
"307","Western Europe","Rivalry Determinants","Q31F","Economies of Scale","Future",2,"Some","Working Team",0
"308","Western Europe","Rivalry Determinants","Q31F","Economies of Scale","Future",3,"Few","Working Team",0
"309","Western Europe","Rivalry Determinants","Q31F","Economies of Scale","Future",4,"Very Few","Working Team",0
"310","Western Europe","Rivalry Determinants","Q31F","Economies of Scale","Future",5,"None","Working Team",0
"311","Western Europe","Rivalry Determinants","Q32","Number of Competitors","Current",1,"Highly Fragmented","Working Team",0
"312","Western Europe","Rivalry Determinants","Q32","Number of Competitors","Current",2,"Fragmented","Working Team",0
"313","Western Europe","Rivalry Determinants","Q32","Number of Competitors","Current",3,"Balanced","Working Team",0
"314","Western Europe","Rivalry Determinants","Q32","Number of Competitors","Current",4,"Concentrated","Working Team",0
"315","Western Europe","Rivalry Determinants","Q32","Number of Competitors","Current",5,"Highly Concentrated","Working Team",0
"316","Western Europe","Rivalry Determinants","Q32F","Number of Competitors","Future",1,"Highly Fragmented","Working Team",0
"317","Western Europe","Rivalry Determinants","Q32F","Number of Competitors","Future",2,"Fragmented","Working Team",0
"318","Western Europe","Rivalry Determinants","Q32F","Number of Competitors","Future",3,"Balanced","Working Team",0
"319","Western Europe","Rivalry Determinants","Q32F","Number of Competitors","Future",4,"Concentrated","Working Team",0
"320","Western Europe","Rivalry Determinants","Q32F","Number of Competitors","Future",5,"Highly Concentrated","Working Team",0
"321","Latin America","Conditions of Demand","Q33","Speed of Decline","Current",1,"Very Slow","Working Team",0
"322","Latin America","Conditions of Demand","Q33","Speed of Decline","Current",2,"Slow","Working Team",0
"323","Latin America","Conditions of Demand","Q33","Speed of Decline","Current",3,"Moderate","Working Team",0
"324","Latin America","Conditions of Demand","Q33","Speed of Decline","Current",4,"Fast","Working Team",0
"325","Latin America","Conditions of Demand","Q33","Speed of Decline","Current",5,"Very Fast","Working Team",0
"326","Latin America","Conditions of Demand","Q33F","Speed of Decline","Future",1,"Very Slow","Working Team",0
"327","Latin America","Conditions of Demand","Q33F","Speed of Decline","Future",2,"Slow","Working Team",0
"328","Latin America","Conditions of Demand","Q33F","Speed of Decline","Future",3,"Moderate","Working Team",0
"329","Latin America","Conditions of Demand","Q33F","Speed of Decline","Future",4,"Fast","Working Team",0
"330","Latin America","Conditions of Demand","Q33F","Speed of Decline","Future",5,"Very Fast","Working Team",0
"331","Latin America","Conditions of Demand","Q34","Certainty of Decline","Current",1,"Very Certain","Working Team",0
"332","Latin America","Conditions of Demand","Q34","Certainty of Decline","Current",2,"Somewhat Certain","Working Team",0
"333","Latin America","Conditions of Demand","Q34","Certainty of Decline","Current",3,"Certain","Working Team",0
"334","Latin America","Conditions of Demand","Q34","Certainty of Decline","Current",4,"Somewhat Uncertain","Working Team",0
"335","Latin America","Conditions of Demand","Q34","Certainty of Decline","Current",5,"Very Uncertain","Working Team",0
"336","Latin America","Conditions of Demand","Q34F","Certainty of Decline","Future",1,"Very Certain","Working Team",0
"337","Latin America","Conditions of Demand","Q34F","Certainty of Decline","Future",2,"Somewhat Certain","Working Team",0
"338","Latin America","Conditions of Demand","Q34F","Certainty of Decline","Future",3,"Certain","Working Team",0
"339","Latin America","Conditions of Demand","Q34F","Certainty of Decline","Future",4,"Somewhat Uncertain","Working Team",0
"340","Latin America","Conditions of Demand","Q34F","Certainty of Decline","Future",5,"Very Uncertain","Working Team",0
"341","Latin America","Conditions of Demand","Q35","Pockets of Enduring Demand","Current",1,"Many","Working Team",0
"342","Latin America","Conditions of Demand","Q35","Pockets of Enduring Demand","Current",2,"Some","Working Team",0
"343","Latin America","Conditions of Demand","Q35","Pockets of Enduring Demand","Current",3,"Few","Working Team",0
"344","Latin America","Conditions of Demand","Q35","Pockets of Enduring Demand","Current",4,"Very few","Working Team",0
"345","Latin America","Conditions of Demand","Q35","Pockets of Enduring Demand","Current",5,"None","Working Team",0
"346","Latin America","Conditions of Demand","Q35F","Pockets of Enduring Demand","Future",1,"Many","Working Team",0
"347","Latin America","Conditions of Demand","Q35F","Pockets of Enduring Demand","Future",2,"Some","Working Team",0
"348","Latin America","Conditions of Demand","Q35F","Pockets of Enduring Demand","Future",3,"Few","Working Team",0
"349","Latin America","Conditions of Demand","Q35F","Pockets of Enduring Demand","Future",4,"Very few","Working Team",0
"350","Latin America","Conditions of Demand","Q35F","Pockets of Enduring Demand","Future",5,"None","Working Team",0
"351","Latin America","Conditions of Demand","Q36","Product Differentiation","Current",1,"Differentiated","Working Team",0
"352","Latin America","Conditions of Demand","Q36","Product Differentiation","Current",2,"Somewhat Branded","Working Team",0
"353","Latin America","Conditions of Demand","Q36","Product Differentiation","Current",3,"Mixed","Working Team",0
"354","Latin America","Conditions of Demand","Q36","Product Differentiation","Current",4,"Somehewhat Commoditized","Working Team",0
"355","Latin America","Conditions of Demand","Q36","Product Differentiation","Current",5,"Commoditized","Working Team",0
"356","Latin America","Conditions of Demand","Q36F","Product Differentiation","Future",1,"Differentiated","Working Team",0
"357","Latin America","Conditions of Demand","Q36F","Product Differentiation","Future",2,"Somewhat Branded","Working Team",0
"358","Latin America","Conditions of Demand","Q36F","Product Differentiation","Future",3,"Mixed","Working Team",0
"359","Latin America","Conditions of Demand","Q36F","Product Differentiation","Future",4,"Somehewhat Commoditized","Working Team",0
"360","Latin America","Conditions of Demand","Q36F","Product Differentiation","Future",5,"Commoditized","Working Team",0
"361","Latin America","Conditions of Demand","Q37","Price Stabiity","Current",1,"Highly Stable","Working Team",0
"362","Latin America","Conditions of Demand","Q37","Price Stabiity","Current",2,"Somewhat Stable","Working Team",0
"363","Latin America","Conditions of Demand","Q37","Price Stabiity","Current",3,"Neutral","Working Team",0
"364","Latin America","Conditions of Demand","Q37","Price Stabiity","Current",4,"Somehewhat Unstable","Working Team",0
"365","Latin America","Conditions of Demand","Q37","Price Stabiity","Current",5,"Highly Unstable","Working Team",0
"366","Latin America","Conditions of Demand","Q37F","Price Stabiity","Future",1,"Highly Stable","Working Team",0
"367","Latin America","Conditions of Demand","Q37F","Price Stabiity","Future",2,"Somewhat Stable","Working Team",0
"368","Latin America","Conditions of Demand","Q37F","Price Stabiity","Future",3,"Neutral","Working Team",0
"369","Latin America","Conditions of Demand","Q37F","Price Stabiity","Future",4,"Somehewhat Unstable","Working Team",0
"370","Latin America","Conditions of Demand","Q37F","Price Stabiity","Future",5,"Highly Unstable","Working Team",0
"371","Latin America","Exit Barriers","Q38","Reinvestment Barriers","Current",1,"Low","Working Team",0
"372","Latin America","Exit Barriers","Q38","Reinvestment Barriers","Current",2,"Very Few","Working Team",0
"373","Latin America","Exit Barriers","Q38","Reinvestment Barriers","Current",3,"Few","Working Team",0
"374","Latin America","Exit Barriers","Q38","Reinvestment Barriers","Current",4,"Some","Working Team",0
"375","Latin America","Exit Barriers","Q38","Reinvestment Barriers","Current",5,"High","Working Team",0
"376","Latin America","Exit Barriers","Q38F","Reinvestment Barriers","Future",1,"Low","Working Team",0
"377","Latin America","Exit Barriers","Q38F","Reinvestment Barriers","Future",2,"Very Few","Working Team",0
"378","Latin America","Exit Barriers","Q38F","Reinvestment Barriers","Future",3,"Few","Working Team",0
"379","Latin America","Exit Barriers","Q38F","Reinvestment Barriers","Future",4,"Some","Working Team",0
"380","Latin America","Exit Barriers","Q38F","Reinvestment Barriers","Future",5,"High","Working Team",0
"381","Latin America","Exit Barriers","Q39","Excess Capacity","Current",1,"Very Little","Working Team",0
"382","Latin America","Exit Barriers","Q39","Excess Capacity","Current",2,"Little","Working Team",0
"383","Latin America","Exit Barriers","Q39","Excess Capacity","Current",3,"Some","Working Team",0
"384","Latin America","Exit Barriers","Q39","Excess Capacity","Current",4,"Substantial","Working Team",0
"385","Latin America","Exit Barriers","Q39","Excess Capacity","Current",5,"Very Substantial","Working Team",0
"386","Latin America","Exit Barriers","Q39F","Excess Capacity","Future",1,"Very Little","Working Team",0
"387","Latin America","Exit Barriers","Q39F","Excess Capacity","Future",2,"Little","Working Team",0
"388","Latin America","Exit Barriers","Q39F","Excess Capacity","Future",3,"Some","Working Team",0
"389","Latin America","Exit Barriers","Q39F","Excess Capacity","Future",4,"Substantial","Working Team",0
"390","Latin America","Exit Barriers","Q39F","Excess Capacity","Future",5,"Very Substantial","Working Team",0
"391","Latin America","Exit Barriers","Q40","Asset Age","Current",1,"Mostly Old","Working Team",0
"392","Latin America","Exit Barriers","Q40","Asset Age","Current",2,"Few Old","Working Team",0
"393","Latin America","Exit Barriers","Q40","Asset Age","Current",3,"Neutral","Working Team",0
"394","Latin America","Exit Barriers","Q40","Asset Age","Current",4,"Few New","Working Team",0
"395","Latin America","Exit Barriers","Q40","Asset Age","Current",5,"Mostly New","Working Team",0
"396","Latin America","Exit Barriers","Q40F","Asset Age","Future",1,"Mostly Old","Working Team",0
"397","Latin America","Exit Barriers","Q40F","Asset Age","Future",2,"Few Old","Working Team",0
"398","Latin America","Exit Barriers","Q40F","Asset Age","Future",3,"Neutral","Working Team",0
"399","Latin America","Exit Barriers","Q40F","Asset Age","Future",4,"Few New","Working Team",0
"400","Latin America","Exit Barriers","Q40F","Asset Age","Future",5,"Mostly New","Working Team",0
"401","Latin America","Exit Barriers","Q41","Resale Markets for Assets","Current",1,"Easy","Working Team",0
"402","Latin America","Exit Barriers","Q41","Resale Markets for Assets","Current",2,"Somewhat Easy","Working Team",0
"403","Latin America","Exit Barriers","Q41","Resale Markets for Assets","Current",3,"Neutral","Working Team",0
"404","Latin America","Exit Barriers","Q41","Resale Markets for Assets","Current",4,"Somewhat Difficult","Working Team",0
"405","Latin America","Exit Barriers","Q41","Resale Markets for Assets","Current",5,"Difficult","Working Team",0
"406","Latin America","Exit Barriers","Q41F","Resale Markets for Assets","Future",1,"Easy","Working Team",0
"407","Latin America","Exit Barriers","Q41F","Resale Markets for Assets","Future",2,"Somewhat Easy","Working Team",0
"408","Latin America","Exit Barriers","Q41F","Resale Markets for Assets","Future",3,"Neutral","Working Team",0
"409","Latin America","Exit Barriers","Q41F","Resale Markets for Assets","Future",4,"Somewhat Difficult","Working Team",0
"410","Latin America","Exit Barriers","Q41F","Resale Markets for Assets","Future",5,"Difficult","Working Team",0
"411","Latin America","Exit Barriers","Q42","Shared Facilities","Current",1,"Mostly Standalone","Working Team",0
"412","Latin America","Exit Barriers","Q42","Shared Facilities","Current",2,"Few","Working Team",0
"413","Latin America","Exit Barriers","Q42","Shared Facilities","Current",3,"Some","Working Team",0
"414","Latin America","Exit Barriers","Q42","Shared Facilities","Current",4,"Substantial","Working Team",0
"415","Latin America","Exit Barriers","Q42","Shared Facilities","Current",5,"Mostly Shared","Working Team",0
"416","Latin America","Exit Barriers","Q42F","Shared Facilities","Future",1,"Mostly Standalone","Working Team",0
"417","Latin America","Exit Barriers","Q42F","Shared Facilities","Future",2,"Few","Working Team",0
"418","Latin America","Exit Barriers","Q42F","Shared Facilities","Future",3,"Some","Working Team",0
"419","Latin America","Exit Barriers","Q42F","Shared Facilities","Future",4,"Substantial","Working Team",0
"420","Latin America","Exit Barriers","Q42F","Shared Facilities","Future",5,"Mostly Shared","Working Team",0
"421","Latin America","Exit Barriers","Q43","Vertical Integration","Current",1,"Very Little","Working Team",0
"422","Latin America","Exit Barriers","Q43","Vertical Integration","Current",2,"Little","Working Team",0
"423","Latin America","Exit Barriers","Q43","Vertical Integration","Current",3,"Some","Working Team",0
"424","Latin America","Exit Barriers","Q43","Vertical Integration","Current",4,"Substantial","Working Team",0
"425","Latin America","Exit Barriers","Q43","Vertical Integration","Current",5,"Very Substantial","Working Team",0
"426","Latin America","Exit Barriers","Q43F","Vertical Integration","Future",1,"Very Little","Working Team",0
"427","Latin America","Exit Barriers","Q43F","Vertical Integration","Future",2,"Little","Working Team",0
"428","Latin America","Exit Barriers","Q43F","Vertical Integration","Future",3,"Some","Working Team",0
"429","Latin America","Exit Barriers","Q43F","Vertical Integration","Future",4,"Substantial","Working Team",0
"430","Latin America","Exit Barriers","Q43F","Vertical Integration","Future",5,"Very Substantial","Working Team",0
"431","Latin America","Exit Barriers","Q44","Single Product Competitors","Current",1,"None","Working Team",0
"432","Latin America","Exit Barriers","Q44","Single Product Competitors","Current",2,"Very Few","Working Team",0
"433","Latin America","Exit Barriers","Q44","Single Product Competitors","Current",3,"Few","Working Team",0
"434","Latin America","Exit Barriers","Q44","Single Product Competitors","Current",4,"Some","Working Team",0
"435","Latin America","Exit Barriers","Q44","Single Product Competitors","Current",5,"Many","Working Team",0
"436","Latin America","Exit Barriers","Q44F","Single Product Competitors","Future",1,"None","Working Team",0
"437","Latin America","Exit Barriers","Q44F","Single Product Competitors","Future",2,"Very Few","Working Team",0
"438","Latin America","Exit Barriers","Q44F","Single Product Competitors","Future",3,"Few","Working Team",0
"439","Latin America","Exit Barriers","Q44F","Single Product Competitors","Future",4,"Some","Working Team",0
"440","Latin America","Exit Barriers","Q44F","Single Product Competitors","Future",5,"Many","Working Team",0
"441","Latin America","Rivalry Determinants","Q45","Customer Power","Current",1,"Very Weak","Working Team",0
"442","Latin America","Rivalry Determinants","Q45","Customer Power","Current",2,"Weak","Working Team",0
"443","Latin America","Rivalry Determinants","Q45","Customer Power","Current",3,"Neutral","Working Team",0
"444","Latin America","Rivalry Determinants","Q45","Customer Power","Current",4,"Strong","Working Team",0
"445","Latin America","Rivalry Determinants","Q45","Customer Power","Current",5,"Very Strong","Working Team",0
"446","Latin America","Rivalry Determinants","Q45F","Customer Power","Future",1,"Very Weak","Working Team",0
"447","Latin America","Rivalry Determinants","Q45F","Customer Power","Future",2,"Weak","Working Team",0
"448","Latin America","Rivalry Determinants","Q45F","Customer Power","Future",3,"Neutral","Working Team",0
"449","Latin America","Rivalry Determinants","Q45F","Customer Power","Future",4,"Strong","Working Team",0
"450","Latin America","Rivalry Determinants","Q45F","Customer Power","Future",5,"Very Strong","Working Team",0
"451","Latin America","Rivalry Determinants","Q46","Customer Switching Costs","Current",1,"Very High","Working Team",0
"452","Latin America","Rivalry Determinants","Q46","Customer Switching Costs","Current",2,"High","Working Team",0
"453","Latin America","Rivalry Determinants","Q46","Customer Switching Costs","Current",3,"Few","Working Team",0
"454","Latin America","Rivalry Determinants","Q46","Customer Switching Costs","Current",4,"Minimal","Working Team",0
"455","Latin America","Rivalry Determinants","Q46","Customer Switching Costs","Current",5,"Very Minimal","Working Team",0
"456","Latin America","Rivalry Determinants","Q46F","Customer Switching Costs","Future",1,"Very High","Working Team",0
"457","Latin America","Rivalry Determinants","Q46F","Customer Switching Costs","Future",2,"High","Working Team",0
"458","Latin America","Rivalry Determinants","Q46F","Customer Switching Costs","Future",3,"Few","Working Team",0
"459","Latin America","Rivalry Determinants","Q46F","Customer Switching Costs","Future",4,"Minimal","Working Team",0
"460","Latin America","Rivalry Determinants","Q46F","Customer Switching Costs","Future",5,"Very Minimal","Working Team",0
"461","Latin America","Rivalry Determinants","Q47","Economies of Scale","Current",1,"Significant","Working Team",0
"462","Latin America","Rivalry Determinants","Q47","Economies of Scale","Current",2,"Some","Working Team",0
"463","Latin America","Rivalry Determinants","Q47","Economies of Scale","Current",3,"Few","Working Team",0
"464","Latin America","Rivalry Determinants","Q47","Economies of Scale","Current",4,"Very Few","Working Team",0
"465","Latin America","Rivalry Determinants","Q47","Economies of Scale","Current",5,"None","Working Team",0
"466","Latin America","Rivalry Determinants","Q47F","Economies of Scale","Future",1,"Significant","Working Team",0
"467","Latin America","Rivalry Determinants","Q47F","Economies of Scale","Future",2,"Some","Working Team",0
"468","Latin America","Rivalry Determinants","Q47F","Economies of Scale","Future",3,"Few","Working Team",0
"469","Latin America","Rivalry Determinants","Q47F","Economies of Scale","Future",4,"Very Few","Working Team",0
"470","Latin America","Rivalry Determinants","Q47F","Economies of Scale","Future",5,"None","Working Team",0
"471","Latin America","Rivalry Determinants","Q48","Number of Competitors","Current",1,"Highly Fragmented","Working Team",0
"472","Latin America","Rivalry Determinants","Q48","Number of Competitors","Current",2,"Fragmented","Working Team",0
"473","Latin America","Rivalry Determinants","Q48","Number of Competitors","Current",3,"Balanced","Working Team",0
"474","Latin America","Rivalry Determinants","Q48","Number of Competitors","Current",4,"Concentrated","Working Team",0
"475","Latin America","Rivalry Determinants","Q48","Number of Competitors","Current",5,"Highly Concentrated","Working Team",0
"476","Latin America","Rivalry Determinants","Q48F","Number of Competitors","Future",1,"Highly Fragmented","Working Team",0
"477","Latin America","Rivalry Determinants","Q48F","Number of Competitors","Future",2,"Fragmented","Working Team",0
"478","Latin America","Rivalry Determinants","Q48F","Number of Competitors","Future",3,"Balanced","Working Team",0
"479","Latin America","Rivalry Determinants","Q48F","Number of Competitors","Future",4,"Concentrated","Working Team",0
"480","Latin America","Rivalry Determinants","Q48F","Number of Competitors","Future",5,"Highly Concentrated","Working Team",0
